Firm ID,Year,Default,WC/TA,RE/TA,EBIT/TA,ME/TL,S/TA
1575,2020,0,0.14,0.01,0.03,0.55,0.3
2393,2012,0,-0.1,0.17,0.05,0.37,0.31
3481,2014,0,0.48,0.12,0.01,0.93,0.28
1185,2018,0,-0.09,0.13,0.04,0.95,0.22
1571,2017,0,0.55,0.16,0.05,0.92,0.19
1762,2020,0,0.25,0.32,0.0,0.36,0.13
1807,2016,0,0.15,-0.03,0.01,1.01,0.1
1858,2012,0,0.34,0.04,0.0,0.79,0.13
3399,2017,0,0.51,0.16,0.0,0.4,0.3
1780,2014,0,0.54,0.3,0.02,0.31,0.22
1398,2012,0,-0.08,0.31,0.02,0.11,0.27
3996,2012,1,0.22,-0.09,0.03,2.6,0.18
292,2020,0,0.48,-0.02,0.0,1.01,0.22
3919,2014,1,0.33,-0.05,0.03,1.31,0.24
142,2013,0,-0.07,0.09,0.04,1.21,0.1
600,2018,0,0.44,-0.08,0.0,0.36,0.1
2929,2014,0,0.42,0.06,0.0,0.66,0.08
3156,2017,0,0.02,0.32,0.05,0.35,0.12
472,2020,0,-0.03,0.03,0.03,0.95,0.18
2443,2020,0,0.36,0.25,0.0,1.05,0.11
2058,2013,0,0.3,-0.12,0.04,1.16,0.1
3583,2016,1,0.31,-0.02,0.03,0.99,0.25
204,2018,0,0.54,0.07,0.03,0.82,0.11
3261,2014,0,0.22,0.3,0.05,0.32,0.24
2746,2019,0,0.45,0.3,0.03,1.1,0.18
2075,2018,0,0.24,0.02,0.01,0.16,0.22
1046,2018,0,0.42,0.16,0.04,1.26,0.11
3201,2015,0,0.22,0.21,0.05,1.06,0.33
2349,2020,0,0.12,-0.04,0.04,0.77,0.12
2177,2016,0,0.11,0.08,0.03,0.82,0.19
959,2017,0,0.01,0.2,0.05,0.18,0.21
875,2016,0,0.51,0.14,0.02,0.39,0.24
2399,2014,0,-0.1,0.31,0.04,0.51,0.12
2799,2014,0,0.15,-0.08,0.02,1.27,0.24
324,2020,0,0.02,0.29,0.05,1.01,0.19
1927,2020,0,-0.02,0.17,0.02,0.86,0.11
231,2020,0,-0.04,0.2,0.04,1.16,0.34
2603,2020,0,0.07,0.23,0.0,1.15,0.28
2052,2015,0,0.25,0.05,0.0,1.21,0.22
733,2020,0,0.49,0.13,0.02,0.52,0.13
283,2016,0,0.39,-0.04,0.05,1.27,0.16
3057,2019,0,0.33,0.15,0.04,0.96,0.29
3498,2020,0,0.49,0.19,0.01,0.76,0.19
3060,2017,0,0.45,-0.08,0.01,0.94,0.15
442,2015,0,0.16,0.11,0.0,0.35,0.26
3709,2017,1,0.31,-0.11,0.04,0.18,0.26
2568,2014,0,0.17,0.19,0.01,0.93,0.22
2077,2017,0,0.19,0.09,0.05,1.17,0.22
1692,2012,0,0.34,0.09,0.0,1.28,0.08
2486,2016,0,0.47,0.16,0.02,1.19,0.12
2822,2019,0,0.53,0.11,0.01,0.47,0.25
2452,2012,0,0.13,0.25,0.02,1.03,0.22
1255,2019,0,0.2,0.18,0.04,0.52,0.34
3131,2012,0,0.43,-0.01,0.01,0.59,0.17
1339,2012,0,0.06,0.2,0.04,1.21,0.12
2493,2012,0,0.26,0.19,0.02,0.28,0.2
2748,2016,0,0.52,-0.05,0.02,0.46,0.13
3941,2012,1,0.26,-0.01,0.04,2.73,0.17
1541,2013,0,-0.05,0.26,0.03,0.11,0.23
3472,2014,0,-0.1,-0.05,0.0,0.19,0.08
2957,2016,0,-0.09,-0.05,0.01,0.41,0.23
1591,2018,0,0.19,0.25,0.04,0.15,0.14
3534,2014,0,0.25,0.13,0.0,0.23,0.34
246,2012,0,-0.09,0.19,0.0,0.36,0.26
3807,2015,1,0.28,0.04,0.04,1.23,0.19
1971,2017,0,0.08,-0.12,0.01,0.11,0.15
2022,2016,0,0.14,-0.12,0.0,1.14,0.25
700,2020,0,0.12,0.11,0.0,0.59,0.2
236,2020,0,-0.01,0.01,0.01,0.56,0.33
1354,2017,0,-0.02,0.06,0.03,1.23,0.16
670,2013,0,0.23,-0.07,0.0,1.11,0.3
901,2017,0,0.23,0.09,0.05,0.55,0.12
498,2018,0,0.17,-0.09,0.01,0.69,0.11
1127,2012,0,0.2,0.25,0.02,0.45,0.31
3501,2015,0,0.34,0.28,0.03,0.49,0.13
3509,2019,0,0.2,0.3,0.04,0.17,0.31
2806,2018,0,-0.1,0.32,0.04,0.83,0.1
2570,2018,0,0.04,-0.06,0.02,1.06,0.08
3186,2012,0,0.5,-0.12,0.01,1.11,0.15
2066,2012,0,-0.06,-0.11,0.05,0.71,0.28
1822,2013,0,0.42,0.07,0.05,0.24,0.31
1716,2013,0,0.44,0.06,0.0,0.89,0.29
3240,2012,0,-0.11,0.25,0.03,0.86,0.12
56,2015,0,0.0,0.17,0.05,1.28,0.21
3032,2014,0,-0.01,0.18,0.05,0.63,0.19
846,2012,0,0.43,0.01,0.04,1.01,0.25
643,2015,0,0.09,0.03,0.03,0.34,0.3
482,2012,0,0.48,0.04,0.01,0.54,0.2
1873,2012,0,0.28,-0.06,0.03,0.49,0.25
2469,2013,0,0.25,0.27,0.04,0.15,0.34
812,2014,0,0.16,0.24,0.03,1.07,0.1
1544,2020,0,0.03,0.19,0.0,0.43,0.32
3896,2016,1,0.14,-0.08,0.04,1.04,0.2
639,2015,0,0.32,0.32,0.03,0.46,0.17
111,2012,0,0.04,0.1,0.01,0.81,0.28
2890,2015,0,0.44,0.13,0.04,0.5,0.15
781,2020,0,0.3,0.08,0.01,1.29,0.22
1274,2018,0,0.43,0.18,0.01,0.2,0.15
424,2016,0,0.22,0.06,0.02,0.89,0.16
2362,2013,0,0.33,0.0,0.05,1.06,0.32
2747,2014,0,0.37,0.11,0.01,0.92,0.14
2586,2014,0,0.26,0.27,0.03,0.41,0.22
315,2019,0,0.55,-0.06,0.0,0.66,0.25
1792,2014,0,-0.11,0.24,0.0,0.65,0.26
1813,2013,0,0.11,0.09,0.04,1.1,0.19
3285,2016,0,0.46,0.25,0.04,0.94,0.14
2897,2015,0,0.5,0.04,0.0,0.75,0.15
2333,2019,0,-0.03,-0.08,0.03,1.12,0.22
844,2016,0,0.42,0.15,0.01,0.38,0.13
3050,2015,0,0.49,-0.01,0.0,0.55,0.3
3361,2014,0,-0.02,0.2,0.03,0.66,0.1
900,2014,0,-0.03,-0.05,0.04,0.52,0.15
2731,2013,0,0.14,0.26,0.02,1.25,0.22
1138,2018,0,-0.05,0.19,0.01,0.77,0.18
2082,2018,0,0.44,0.21,0.0,0.86,0.25
785,2015,0,0.18,0.29,0.04,1.1,0.11
1586,2012,0,0.03,0.13,0.01,0.22,0.34
3926,2013,1,0.34,-0.03,0.03,1.69,0.17
582,2015,0,0.0,0.18,0.04,0.31,0.28
273,2020,0,0.14,0.16,0.01,0.38,0.21
3340,2013,0,0.41,0.15,0.0,0.71,0.11
1145,2014,0,0.49,-0.11,0.04,0.59,0.32
1939,2018,0,0.16,-0.04,0.01,0.77,0.14
3068,2019,0,0.25,0.32,0.0,0.9,0.3
2667,2018,0,0.18,-0.1,0.02,0.33,0.19
2047,2017,0,-0.02,0.02,0.04,0.39,0.17
3783,2015,1,0.22,-0.09,0.03,1.75,0.16
3035,2017,0,0.31,0.24,0.0,0.51,0.22
83,2014,0,0.33,0.05,0.01,0.35,0.18
3365,2017,0,-0.03,0.13,0.02,0.09,0.17
585,2016,0,0.46,0.19,0.03,1.17,0.29
1814,2014,0,0.27,0.12,0.02,0.15,0.32
2928,2020,0,-0.09,-0.12,0.04,0.58,0.13
60,2013,0,0.3,0.31,0.04,0.82,0.27
1619,2020,0,-0.06,0.11,0.02,0.22,0.22
3247,2015,0,-0.05,0.08,0.03,0.13,0.23
910,2016,0,0.29,0.13,0.05,1.16,0.15
3948,2020,1,0.08,-0.02,0.04,2.06,0.12
174,2015,0,0.0,0.03,0.03,0.5,0.15
994,2014,0,0.49,-0.01,0.02,0.84,0.31
1170,2015,0,0.13,0.12,0.03,0.18,0.27
626,2015,0,0.23,-0.03,0.01,0.33,0.3
3894,2015,1,0.31,-0.05,0.03,3.16,0.17
2227,2016,0,0.46,0.27,0.02,0.84,0.12
1038,2016,0,0.44,0.22,0.03,0.16,0.09
2490,2016,0,0.3,0.16,0.05,1.13,0.16
590,2014,0,0.49,0.06,0.01,1.06,0.13
351,2012,0,0.16,0.13,0.04,0.72,0.33
3445,2013,0,0.02,-0.01,0.04,0.97,0.13
2499,2020,0,0.38,0.07,0.05,0.97,0.12
1906,2019,0,0.26,0.13,0.01,0.47,0.33
3557,2018,1,0.13,-0.03,0.04,1.65,0.23
3450,2013,0,-0.06,-0.03,0.02,0.1,0.21
800,2013,0,0.51,-0.04,0.04,1.17,0.31
3086,2012,0,0.52,0.15,0.01,0.31,0.17
3465,2018,0,0.4,-0.08,0.04,0.96,0.13
2506,2015,0,0.14,0.24,0.01,0.93,0.26
1815,2015,0,0.41,0.11,0.04,0.92,0.31
3299,2018,0,0.21,0.24,0.02,1.0,0.11
3477,2018,0,0.55,0.32,0.05,1.09,0.3
2778,2014,0,0.37,0.18,0.05,0.17,0.2
1484,2013,0,0.39,0.3,0.04,1.05,0.26
3447,2014,0,0.16,-0.11,0.01,0.08,0.15
2034,2013,0,0.49,0.11,0.04,0.37,0.31
1555,2017,0,-0.08,0.21,0.05,0.56,0.2
584,2018,0,-0.07,0.16,0.02,0.35,0.3
423,2016,0,0.07,-0.01,0.0,0.72,0.27
816,2015,0,0.46,0.0,0.02,0.36,0.21
3178,2017,0,0.08,0.27,0.0,0.72,0.28
3474,2016,0,0.45,-0.05,0.05,0.55,0.15
3483,2015,0,0.15,0.05,0.01,0.88,0.09
136,2012,0,0.3,-0.08,0.02,1.15,0.33
1156,2018,0,0.16,0.01,0.05,0.7,0.14
552,2016,0,0.18,0.2,0.03,1.09,0.29
3182,2014,0,0.22,0.28,0.04,0.22,0.21
1521,2013,0,0.43,-0.04,0.01,0.18,0.16
3031,2016,0,0.3,0.27,0.05,0.45,0.29
2046,2017,0,0.37,0.24,0.01,0.61,0.08
983,2019,0,0.09,0.06,0.0,1.05,0.28
3512,2012,0,-0.01,0.24,0.02,0.61,0.19
1344,2013,0,-0.05,0.01,0.03,0.45,0.24
3909,2020,1,0.28,-0.1,0.04,2.24,0.24
3665,2019,1,0.27,0.01,0.03,2.17,0.14
1739,2013,0,0.25,0.18,0.05,0.49,0.14
84,2016,0,0.52,0.14,0.0,0.48,0.14
916,2017,0,0.05,-0.01,0.01,0.25,0.26
3460,2014,0,-0.04,-0.07,0.04,1.22,0.27
2966,2013,0,-0.04,-0.02,0.03,0.38,0.14
2531,2016,0,0.39,0.26,0.01,0.4,0.2
2771,2015,0,0.21,0.17,0.0,0.36,0.28
839,2014,0,0.42,0.29,0.0,1.01,0.19
2369,2017,0,0.41,0.27,0.0,0.87,0.27
3938,2014,1,0.21,0.04,0.03,0.85,0.19
999,2012,0,0.07,-0.12,0.03,1.2,0.28
3105,2020,0,0.25,0.09,0.01,0.91,0.2
373,2020,0,0.53,-0.07,0.01,0.82,0.16
3217,2019,0,0.09,0.18,0.01,1.0,0.3
707,2020,0,0.08,0.31,0.01,0.87,0.21
3901,2014,1,0.22,-0.11,0.04,1.64,0.18
1272,2018,0,0.33,0.2,0.0,0.3,0.18
2447,2019,0,0.54,0.09,0.02,0.69,0.27
2826,2017,0,-0.1,0.09,0.05,0.8,0.28
1594,2017,0,0.03,0.14,0.02,0.62,0.25
3411,2015,0,-0.08,0.13,0.03,0.45,0.09
2196,2014,0,-0.02,0.07,0.02,1.06,0.31
739,2012,0,0.46,-0.06,0.02,0.87,0.17
129,2018,0,0.2,0.24,0.0,0.64,0.32
2093,2014,0,0.44,0.06,0.02,1.03,0.14
2422,2014,0,0.48,0.08,0.02,0.35,0.11
3529,2012,0,-0.08,-0.08,0.04,1.03,0.18
2410,2015,0,0.36,0.04,0.0,0.77,0.2
1202,2015,0,0.38,0.0,0.03,0.51,0.22
427,2013,0,0.35,-0.04,0.01,0.59,0.26
2409,2019,0,-0.05,-0.07,0.0,0.6,0.28
1458,2018,0,-0.06,0.11,0.04,0.39,0.16
1331,2017,0,0.43,0.06,0.05,0.66,0.1
2760,2019,0,0.25,0.07,0.01,0.98,0.24
201,2016,0,0.37,-0.02,0.0,0.92,0.23
2148,2017,0,0.21,-0.01,0.05,0.1,0.12
1416,2012,0,0.31,0.07,0.02,0.34,0.2
2651,2017,0,0.32,0.05,0.03,1.01,0.29
914,2019,0,0.13,0.1,0.01,1.13,0.09
960,2016,0,0.14,0.21,0.03,0.15,0.3
2160,2016,0,-0.06,0.26,0.02,0.51,0.24
569,2015,0,0.35,-0.02,0.05,0.34,0.18
1847,2012,0,0.47,-0.04,0.03,0.71,0.32
981,2017,0,-0.03,-0.01,0.0,0.57,0.2
655,2018,0,0.1,0.11,0.03,0.67,0.14
3262,2014,0,0.41,0.09,0.02,1.22,0.28
3986,2016,1,0.16,-0.06,0.03,0.6,0.18
2433,2014,0,0.51,-0.01,0.03,0.43,0.25
310,2013,0,0.02,0.19,0.0,0.1,0.08
3768,2017,1,0.1,0.06,0.04,0.11,0.24
3281,2020,0,0.1,-0.06,0.0,1.07,0.21
3302,2012,0,-0.1,0.3,0.0,1.05,0.14
3990,2014,1,0.22,-0.04,0.03,1.53,0.21
2983,2017,0,0.3,0.12,0.03,0.63,0.16
789,2014,0,0.0,-0.05,0.01,0.97,0.22
1410,2014,0,-0.02,0.01,0.04,0.47,0.34
2585,2015,0,0.42,-0.06,0.05,0.42,0.29
2545,2015,0,-0.08,0.2,0.02,0.17,0.15
3488,2014,0,0.32,0.15,0.0,0.56,0.33
1717,2018,0,-0.05,-0.06,0.0,1.16,0.29
1621,2014,0,0.19,0.01,0.01,0.42,0.12
3973,2014,1,0.17,-0.05,0.04,1.82,0.28
2412,2020,0,0.34,0.14,0.03,0.38,0.21
1183,2020,0,0.45,0.06,0.03,0.75,0.08
3198,2020,0,0.19,0.25,0.05,0.66,0.13
345,2020,0,-0.09,-0.03,0.01,0.46,0.3
1142,2012,0,0.34,0.2,0.03,0.52,0.26
413,2017,0,-0.01,0.11,0.05,0.35,0.32
3865,2020,1,0.21,0.03,0.03,2.88,0.19
3099,2012,0,0.27,0.12,0.0,0.52,0.22
2681,2018,0,-0.07,0.07,0.01,0.39,0.26
1089,2017,0,-0.1,-0.03,0.04,0.98,0.33
2019,2018,0,0.1,0.02,0.02,0.78,0.26
1612,2014,0,-0.1,0.0,0.04,0.29,0.34
1687,2017,0,-0.05,-0.06,0.02,0.63,0.2
1805,2018,0,0.23,0.19,0.04,0.69,0.24
3229,2018,0,0.03,-0.01,0.0,1.15,0.18
2008,2016,0,0.06,0.22,0.0,0.25,0.24
2263,2018,0,0.41,-0.01,0.01,0.36,0.1
2365,2015,0,0.34,-0.06,0.05,1.1,0.15
1078,2016,0,0.16,0.08,0.02,1.23,0.09
2024,2018,0,-0.06,0.2,0.0,0.83,0.08
302,2015,0,0.26,0.01,0.05,0.46,0.22
2948,2013,0,0.18,0.08,0.04,0.56,0.1
3708,2015,1,0.28,-0.09,0.04,2.43,0.15
3353,2017,0,0.49,0.3,0.04,0.52,0.31
2142,2019,0,0.55,0.07,0.02,0.37,0.19
3653,2019,1,0.08,0.01,0.04,0.09,0.25
1679,2017,0,0.55,-0.04,0.0,0.13,0.15
3495,2018,0,0.31,0.01,0.05,0.46,0.26
275,2012,0,0.3,0.04,0.05,0.51,0.23
1986,2016,0,0.4,0.21,0.04,0.15,0.33
1721,2014,0,0.09,0.31,0.02,0.24,0.09
31,2012,0,-0.09,0.24,0.0,0.99,0.19
2087,2014,0,0.51,0.16,0.04,0.52,0.34
1386,2019,0,0.21,0.05,0.01,1.28,0.1
1868,2012,0,0.53,0.17,0.0,0.66,0.18
2441,2017,0,0.49,0.06,0.02,0.38,0.27
268,2015,0,0.23,0.0,0.0,1.24,0.29
575,2016,0,0.28,-0.11,0.03,1.12,0.31
1820,2015,0,-0.09,-0.06,0.04,1.25,0.11
3256,2019,0,0.5,0.02,0.01,1.09,0.15
3602,2013,1,0.33,-0.02,0.04,2.32,0.13
1446,2016,0,0.52,-0.01,0.05,0.81,0.33
3291,2017,0,0.52,0.02,0.04,0.78,0.22
1752,2020,0,-0.08,-0.09,0.03,0.99,0.26
2593,2014,0,0.26,-0.12,0.03,0.56,0.3
1779,2018,0,0.17,-0.04,0.04,0.63,0.33
1163,2017,0,0.48,-0.02,0.03,0.54,0.24
908,2017,0,0.26,0.27,0.04,1.17,0.33
3252,2015,0,-0.08,0.15,0.0,1.1,0.14
75,2017,0,0.55,0.12,0.01,0.88,0.27
1164,2012,0,-0.05,0.26,0.04,0.5,0.33
1585,2016,0,0.08,0.2,0.0,0.67,0.19
1218,2020,0,0.45,0.17,0.01,1.13,0.31
729,2017,0,0.43,0.22,0.01,0.96,0.22
1475,2020,0,0.51,0.02,0.04,0.77,0.3
3058,2012,0,0.45,0.16,0.03,0.94,0.28
1495,2013,0,0.54,0.02,0.0,0.42,0.28
3694,2015,1,0.22,-0.1,0.04,3.07,0.2
93,2017,0,0.22,0.25,0.03,0.5,0.2
3462,2013,0,0.13,-0.02,0.03,0.11,0.21
2873,2017,0,0.26,0.2,0.0,1.29,0.17
1101,2017,0,0.1,0.02,0.03,1.23,0.24
889,2018,0,0.47,0.2,0.01,0.76,0.24
2430,2020,0,0.35,-0.12,0.01,0.48,0.15
2955,2020,0,0.51,0.16,0.04,0.26,0.12
945,2014,0,0.15,0.07,0.05,0.47,0.1
3169,2014,0,-0.02,0.09,0.04,1.21,0.32
2627,2019,0,-0.1,0.24,0.01,0.91,0.17
1781,2017,0,0.26,0.03,0.05,0.66,0.29
1316,2015,0,0.22,-0.03,0.02,0.5,0.25
2345,2019,0,0.32,0.05,0.05,1.28,0.26
1843,2018,0,0.48,0.13,0.05,0.38,0.32
3019,2012,0,0.32,0.01,0.03,0.5,0.31
3278,2015,0,0.33,0.12,0.01,0.11,0.08
1915,2018,0,0.1,0.05,0.02,1.18,0.15
2538,2018,0,0.06,0.16,0.05,0.84,0.19
2718,2018,0,0.19,0.29,0.04,1.14,0.21
2387,2014,0,-0.11,0.28,0.01,1.29,0.18
44,2015,0,0.29,0.19,0.05,1.24,0.31
2800,2015,0,0.08,0.0,0.0,0.92,0.08
2638,2015,0,0.42,0.06,0.03,0.38,0.32
2823,2012,0,-0.06,0.07,0.03,0.37,0.1
2755,2018,0,-0.09,0.04,0.03,0.31,0.12
2335,2019,0,0.36,-0.1,0.01,1.25,0.21
307,2020,0,0.37,0.27,0.0,0.1,0.27
1597,2014,0,0.54,0.24,0.03,0.28,0.18
1698,2013,0,0.0,0.13,0.03,1.05,0.18
3500,2019,0,-0.08,0.17,0.02,0.25,0.27
532,2020,0,0.28,-0.08,0.04,1.12,0.33
3097,2018,0,-0.02,0.17,0.01,1.16,0.26
2179,2014,0,0.38,0.3,0.02,0.08,0.25
904,2018,0,-0.01,-0.12,0.04,0.45,0.17
1924,2016,0,-0.03,0.27,0.02,0.97,0.14
477,2016,0,0.24,-0.02,0.04,0.98,0.19
3615,2019,1,0.29,-0.01,0.03,1.09,0.26
1468,2020,0,0.46,-0.03,0.04,0.91,0.23
1239,2019,0,0.01,0.26,0.01,0.96,0.18
2617,2019,0,0.55,-0.03,0.04,0.3,0.19
2510,2014,0,-0.04,0.29,0.01,0.82,0.08
3316,2012,0,0.34,0.02,0.03,0.54,0.3
2002,2017,0,0.16,-0.03,0.03,1.21,0.29
3846,2015,1,0.36,0.05,0.04,2.29,0.14
1661,2019,0,0.27,0.32,0.03,0.54,0.34
1938,2020,0,0.22,0.18,0.0,0.32,0.25
545,2012,0,0.5,0.18,0.02,0.32,0.16
2551,2014,0,0.15,0.16,0.03,0.12,0.26
763,2017,0,0.47,0.05,0.05,0.31,0.3
2186,2018,0,0.26,0.26,0.05,1.11,0.19
53,2018,0,0.44,0.3,0.03,1.25,0.29
1803,2014,0,0.19,0.06,0.01,0.08,0.31
1273,2012,0,0.45,0.13,0.0,1.2,0.16
1844,2012,0,-0.06,0.17,0.01,0.69,0.28
3436,2013,0,0.41,-0.1,0.01,0.18,0.12
1276,2019,0,0.05,-0.02,0.05,0.16,0.1
780,2018,0,0.41,-0.01,0.01,0.45,0.28
388,2020,0,0.5,0.06,0.05,0.64,0.13
3314,2016,0,0.19,0.04,0.03,1.12,0.08
1351,2014,0,0.18,-0.12,0.03,0.19,0.19
1090,2014,0,-0.1,-0.02,0.04,0.9,0.12
2776,2015,0,0.2,0.03,0.03,1.08,0.09
420,2017,0,0.43,0.1,0.0,1.2,0.27
1829,2018,0,0.1,0.04,0.04,0.22,0.12
740,2017,0,0.27,-0.07,0.01,1.11,0.08
393,2020,0,0.42,0.1,0.0,0.74,0.22
2089,2019,0,0.45,0.21,0.0,1.06,0.17
208,2013,0,0.05,0.02,0.03,0.88,0.13
1465,2018,0,0.23,0.04,0.0,0.57,0.34
2185,2020,0,0.44,0.05,0.01,0.85,0.28
2588,2012,0,0.25,-0.1,0.03,1.29,0.19
319,2012,0,0.54,-0.06,0.05,0.21,0.13
3968,2014,1,0.1,0.03,0.03,0.32,0.22
728,2012,0,0.5,0.13,0.0,0.17,0.22
813,2014,0,0.23,0.32,0.0,0.65,0.19
2057,2015,0,0.25,0.2,0.02,1.23,0.3
2170,2013,0,0.01,0.1,0.03,0.75,0.24
3352,2016,0,-0.04,0.09,0.05,1.23,0.1
1540,2016,0,0.36,0.29,0.01,1.16,0.12
1177,2016,0,0.39,-0.12,0.0,1.08,0.33
3122,2015,0,-0.02,0.02,0.02,0.8,0.32
3544,2013,0,-0.09,0.13,0.05,1.15,0.22
984,2015,0,0.28,0.27,0.02,0.91,0.27
2187,2013,0,-0.02,-0.04,0.01,0.14,0.2
3442,2018,0,-0.03,0.0,0.0,0.12,0.11
2716,2014,0,0.02,0.25,0.0,0.91,0.19
651,2015,0,0.4,0.0,0.05,0.22,0.16
299,2012,0,-0.04,0.04,0.02,0.18,0.17
3870,2020,1,0.18,0.02,0.03,2.0,0.26
3183,2016,0,0.03,0.32,0.0,0.7,0.13
1109,2020,0,0.47,-0.03,0.05,0.78,0.29
3017,2012,0,0.48,0.11,0.05,0.88,0.19
1617,2012,0,0.49,0.21,0.03,0.49,0.21
866,2020,0,0.27,0.28,0.01,0.42,0.11
